Check ID	Check Name	Check Type	Severity	Scope	Use Case	Linked DR IDs	DR Mapping Types	Validated Fields	PINT Reference Terms	Description	Conditional Logic / Applies When	Pass Condition	Fail Condition	MoF Rule Reference	Owner Team	Suggested Fix	Evidence Required
UAE-UC1-CHK-027	Tax Breakdown Present	Presence	Critical	Header	UC1 Standard Tax Invoice	IBT-116; IBT-118	IBT-116:partial; IBT-118:partial	IBT-116=>total_excl_vat; IBT-118=>tax_category_code	IBG-23; IBT-116; IBT-118	Validates at least one VAT breakdown is present (IBG-23)	UC1 Standard Tax Invoice	At least one tax category breakdown exists	No tax breakdown information provided	BR-CO-18	Client Finance	Add VAT breakdown showing taxable amount and VAT rate per category	Tax breakdown schedule
UAE-UC1-CHK-028	Tax Category Tax Amount Formula	Math	High	Header	UC1 Standard Tax Invoice	IBT-117; IBT-119; IBT-151; IBT-152; BTUAE-08	IBT-117:partial; IBT-119:partial; IBT-151:partial; IBT-152:partial; BTUAE-08:exact	IBT-117=>vat_total,vat_amount; IBT-119=>tax_category_rate; IBT-151=>tax_category_code; IBT-152=>vat_rate; BTUAE-08=>vat_amount	IBT-116; IBT-117; IBT-119; IBT-151; IBT-152; BTUAE-08	Validates tax amount = taxable amount x rate (IBT-117)	UC1 Standard Tax Invoice	Tax amount = Taxable base x VAT rate (within rounding tolerance)	Tax calculation does not match formula	BR-CO-17	Client Finance	Verify VAT calculation: Tax = Base x Rate	VAT calculation breakdown
UAE-UC1-CHK-029	Tax Total = Sum of Tax Breakdown Amounts	Math	Critical	Cross	UC1 Standard Tax Invoice	IBT-110; IBT-117	IBT-110:exact; IBT-117:partial	IBT-110=>vat_total; IBT-117=>vat_total	IBT-110; IBT-117	Validates total tax equals sum of all tax category amounts	UC1 Standard Tax Invoice	Sum of tax breakdown amounts = Total tax amount	Tax breakdown sum does not equal total	BR-CO-14	Client Finance	Reconcile tax breakdown categories with total VAT	Tax category breakdown vs total reconciliation
UAE-UC1-CHK-030	Invoice Must Have >=1 Line	Presence	Critical	Cross	UC1 Standard Tax Invoice				IBG-25	Validates invoice has at least one line item (IBG-25)	UC1 Standard Tax Invoice	Invoice contains one or more line items	Invoice has no line items	BR-16	Client Finance	Add at least one invoice line with item details	Invoice with line item details
UAE-UC1-CHK-031	Line Identifier Present	Presence	High	Lines	UC1 Standard Tax Invoice	IBT-126	IBT-126:exact	IBT-126=>line_id,line_number	IBT-126	Validates each line has a unique identifier (IBT-126)	UC1 Standard Tax Invoice	Line identifier is present and unique	Line identifier is missing or duplicated	BR-21	Client IT	Assign unique sequential line numbers to each line item	Line item numbering logic
UAE-UC1-CHK-032	Invoiced Quantity Present	Presence	High	Lines	UC1 Standard Tax Invoice	IBT-129	IBT-129:exact	IBT-129=>quantity	IBT-129	Validates invoiced quantity is present (IBT-129)	UC1 Standard Tax Invoice	Quantity field is present and numeric	Quantity is missing or invalid	BR-22	Client Finance	Specify the quantity for each line item	Delivery note or quantity source
UAE-UC1-CHK-033	Unit of Measure Code Present	Presence	Medium	Lines	UC1 Standard Tax Invoice	IBT-130	IBT-130:exact	IBT-130=>unit_of_measure	IBT-130	Validates unit of measure is specified (IBT-130)	UC1 Standard Tax Invoice	Unit of measure code is present	Unit of measure is missing	BR-23	Client Finance	Add UN/ECE Recommendation 20 unit code (e.g., EA, KGM, MTR)	Unit of measure mapping
UAE-UC1-CHK-034	Line Net Amount Formula	Math	High	Lines	UC1 Standard Tax Invoice	IBT-129; IBT-131; IBT-146; IBT-148; IBT-149	IBT-129:partial; IBT-131:exact; IBT-146:partial; IBT-148:partial; IBT-149:partial	IBT-129=>quantity; IBT-131=>line_total_excl_vat; IBT-146=>unit_price; IBT-148=>unit_price; IBT-149=>price_base_quantity,line_base_quantity,item_price_base_quantity	IBT-129; IBT-131; IBT-146; IBT-148; IBT-149	Validates line net = (qty x price) - allowances + charges (IBT-131)	UC1 Standard Tax Invoice	Line net amount = (Quantity x Unit Price) - Discount	Line net calculation is incorrect	BR-CO-04	Client Finance	Verify line calculation: Net = (Qty x Price) - Discount	Line item calculation breakdown
UAE-UC1-CHK-035	Tax Line Amount Derivable in AED	Dependency	High	Lines	UC1 Standard Tax Invoice	IBT-131; IBT-005	IBT-131:partial; IBT-005:partial	IBT-131=>line_total_excl_vat; IBT-005=>currency	IBT-131; IBT-117; IBT-005; IBT-007; BTUAE-001	Validates invoice line amount can be derived in AED using currency/FX policy	UC1 Standard Tax Invoice	Line amount has AED basis directly or via positive FX conversion	Line amount in AED cannot be derived due to missing/invalid currency or FX	MOF-TAX-49	Client Finance	Provide valid FX rate for non-AED invoices and ensure line amounts are populated	Invoice currency policy, FX source, and line amount reconciliation
UAE-UC1-CHK-036	Commercial Buyer Legal Registration Identifier Present	Presence	High	Cross	UC1 Standard Tax Invoice	IBT-048	IBT-048:partial	IBT-048=>buyer_legal_reg_id,buyer_trn	IBT-048	Validates buyer legal registration identifier is present for commercial invoice profile	UC1 Standard Tax Invoice	Buyer legal registration identifier is present for applicable commercial invoices	Buyer legal registration identifier is missing for commercial invoices	MOF-COM-24	Client Finance	Populate buyer legal registration identifier or approved buyer identity source field	Buyer master data and commercial invoice profile policy
UAE-UC1-CHK-037	Commercial Buyer Legal Registration Identifier Type Policy	CodeList	Medium	Cross	UC1 Standard Tax Invoice				BTUAE-15	Validates buyer legal registration identifier type for commercial invoice profile	UC1 Standard Tax Invoice	Buyer legal registration identifier type is explicit or resolved via approved default	Buyer legal registration identifier type is missing/invalid for commercial invoices	MOF-COM-25	Client IT	Populate buyer legal identifier type or configure approved default type policy	Identifier-type policy and master-data mapping evidence
UAE-UC1-CHK-038	Item Name Presence	Presence	High	Lines	UC1 Standard Tax Invoice	IBT-154; IBT-153	IBT-154:exact; IBT-153:partial	IBT-154=>item_name; IBT-153=>description	IBT-154; IBT-153	Validates item name is present, with approved fallback to description	UC1 Standard Tax Invoice	Item name exists directly or can be resolved from description fallback	Item name and fallback description are both missing	MOF-TAX-50|MOF-COM-48	Client Finance	Populate item name; if unavailable, ensure description is populated as fallback	Line-level product master data extract
UAE-UC1-CHK-039	Item Description Presence	Presence	Medium	Lines	UC1 Standard Tax Invoice	IBT-153; IBT-154	IBT-153:exact; IBT-154:partial	IBT-153=>description; IBT-154=>item_name	IBT-153; IBT-154	Validates item description is present, with approved fallback to item name	UC1 Standard Tax Invoice	Item description exists directly or can be resolved from item name fallback	Item description and fallback item name are both missing	MOF-TAX-51|MOF-COM-49	Client Finance	Populate item description; if unavailable, ensure item name is available as fallback	Line-level item description mapping evidence
UAE-UC1-CHK-040	Item Price Base Quantity Policy	Dependency	Medium	Lines	UC1 Standard Tax Invoice	IBT-149; IBT-129; IBT-146	IBT-149:partial; IBT-129:partial; IBT-146:partial	IBT-149=>price_base_quantity,line_base_quantity,item_price_base_quantity; IBT-129=>quantity; IBT-146=>unit_price	IBT-149; IBT-129; IBT-146	Validates base-quantity policy for item price using explicit value or approved default	UC1 Standard Tax Invoice	Base quantity is positive when supplied, or valid default policy is applied	Base quantity policy is invalid or unsupported for line pricing	MOF-TAX-45|MOF-COM-45	Client IT	Provide explicit positive base quantity or configure approved default (typically 1)	Pricing policy and line calculation configuration evidence
UAE-UC1-CHK-041	Header Tax Category Code In Aligned Tax Category Codes	CodeList	High	Header	UC1 Standard Tax Invoice	IBT-118	IBT-118:exact	IBT-118=>tax_category_code	IBT-118	Validates header tax category code (IBT-118) against Aligned-TaxCategoryCodes codelist	UC1 Standard Tax Invoice	Header tax category code exists in Aligned-TaxCategoryCodes	Header tax category code is not in Aligned-TaxCategoryCodes	MOF-TAX-37|MOF-COM-37	Client IT	Use a valid aligned VAT category code for the invoice tax breakdown header	Tax category master-data mapping and invoice tax policy
UAE-UC1-CHK-042	Line Tax Category Code In Aligned Tax Category Codes	CodeList	High	Lines	UC1 Standard Tax Invoice	IBT-151	IBT-151:exact	IBT-151=>tax_category_code	IBT-151	Validates line tax category code (IBT-151) against Aligned-TaxCategoryCodes codelist	UC1 Standard Tax Invoice	Line tax category code exists in Aligned-TaxCategoryCodes	Line tax category code is not in Aligned-TaxCategoryCodes	MOF-TAX-46|MOF-COM-46	Client IT	Use a valid aligned VAT category code for each invoice line	Line tax category mapping against PINT-AE aligned tax category codes
UAE-UC1-CHK-043	Seller Country Code ISO3166	CodeList	High	Header	UC1 Standard Tax Invoice	IBT-040	IBT-040:exact	IBT-040=>seller_country	IBT-040	Validates seller country code (IBT-040) against ISO3166 codelist	UC1 Standard Tax Invoice	Seller country code exists in ISO3166	Seller country code is not in ISO3166	MOF-TAX-20|MOF-COM-20	Client IT	Use a valid ISO3166 alpha-2 seller country code	Seller master-data country code mapping
UAE-UC1-CHK-044	Buyer Country Code ISO3166	CodeList	High	Party	UC1 Standard Tax Invoice	IBT-055	IBT-055:exact	IBT-055=>buyer_country	IBT-055	Validates buyer country code (IBT-055) against ISO3166 codelist	UC1 Standard Tax Invoice	Buyer country code exists in ISO3166	Buyer country code is not in ISO3166	MOF-TAX-29|MOF-COM-29	Client IT	Use a valid ISO3166 alpha-2 buyer country code	Buyer master-data country code mapping
UAE-UC1-CHK-045	Invoice Type Code UNCL1001 Invoice Context	CodeList	High	Header	UC1 Standard Tax Invoice	IBT-003	IBT-003:exact	IBT-003=>invoice_type	IBT-003	Validates invoice type code (IBT-003) against UNCL1001-inv for invoice context documents	UC1 Standard Tax Invoice	Invoice type code exists in UNCL1001-inv when document context is invoice	Invoice type code is not in UNCL1001-inv for invoice context	MOF-TAX-03|MOF-COM-03	Client IT	Use a valid UNCL1001 invoice code for standard invoice context	Document type mapping table and invoice policy
UAE-UC1-CHK-046	Invoice Type Code UNCL1001 Credit Note Context	CodeList	High	Header	UC1 Standard Tax Invoice	IBT-003	IBT-003:exact	IBT-003=>invoice_type	IBT-003	Validates invoice type code (IBT-003) against UNCL1001-cn for credit note context documents	UC1 Standard Tax Invoice	Invoice type code exists in UNCL1001-cn when document context is credit note	Invoice type code is not in UNCL1001-cn for credit note context	MOF-TAX-03|MOF-COM-03	Client IT	Use a valid UNCL1001 credit-note code for credit note context	Credit-note scenario mapping and document type policy
UAE-UC1-CHK-047	Payment Means Code UNCL4461	CodeList	Medium	Header	UC1 Standard Tax Invoice	IBT-081	IBT-081:exact	IBT-081=>payment_means_code	IBT-081	Validates payment means code (IBT-081) against UNCL4461 codelist when provided	UC1 Standard Tax Invoice	Payment means code exists in UNCL4461 when value is supplied	Payment means code is not in UNCL4461	MOF-TAX-09|MOF-COM-09	Client IT	Use a valid UNCL4461 payment means code when payment means is supplied	Payment means configuration and code mapping
UAE-UC1-CHK-048	Unit Of Measure Code UNECE Rec20	CodeList	Medium	Lines	UC1 Standard Tax Invoice	IBT-130	IBT-130:exact	IBT-130=>unit_of_measure	IBT-130	Validates unit of measure code (IBT-130) against UNECERec20 codelist	UC1 Standard Tax Invoice	Unit of measure code exists in UNECERec20	Unit of measure code is not in UNECERec20	MOF-TAX-41|MOF-COM-41	Client IT	Use a valid UNECE Rec20 unit code for each invoiced line	Unit-of-measure master data and mapping configuration
UAE-UC1-CHK-049	Exempt VAT Reason Code Required	Dependency	High	Lines	UC1 Standard Tax Invoice	IBT-151	IBT-151:partial	IBT-151=>tax_category_code	IBT-151; IBT-186	Validates exempt VAT lines provide an exemption reason code or explanatory reason text	UC1 Standard Tax Invoice	Exempt VAT lines include exemption reason code or reason text	Exempt VAT line is missing exemption reason code and explanatory text	IBR-167-AE	Client Finance	Populate the exemption reason code and, where used operationally, the supporting reason text for exempt VAT lines	Tax treatment mapping and exemption documentation
UAE-UC1-CHK-050	Exempt VAT Reason Code In AE Exemption Codes	CodeList	High	Lines	UC1 Standard Tax Invoice	IBT-151	IBT-151:partial	IBT-151=>tax_category_code	IBT-151; IBT-186	Validates exempt VAT reason code against Aligned-TaxExemptionCodes when exempt VAT applies	UC1 Standard Tax Invoice	Exempt VAT reason code exists in Aligned-TaxExemptionCodes	Exempt VAT reason code is not in Aligned-TaxExemptionCodes	IBR-167-AE-CL	Client IT	Use an approved UAE exemption reason code for exempt VAT lines	Tax exemption reason master data
UAE-UC1-CHK-051	Reverse Charge Goods Type Required	Dependency	High	Lines	UC1 Standard Tax Invoice	IBT-151	IBT-151:partial	IBT-151=>tax_category_code	IBT-151; BTAE-09	Validates reverse-charge VAT lines provide the required goods/services type	UC1 Standard Tax Invoice	Reverse-charge VAT lines include a goods/services type value	Reverse-charge VAT line is missing goods/services type	IBR-166-AE	Client Finance	Populate the reverse-charge goods/services type for affected invoice lines	Reverse-charge scenario documentation and goods/services classification
UAE-UC1-CHK-052	Reverse Charge Goods Type In GoodsType Codelist	CodeList	High	Lines	UC1 Standard Tax Invoice	IBT-151	IBT-151:partial	IBT-151=>tax_category_code	IBT-151; BTAE-09	Validates reverse-charge goods/services type against GoodsType when reverse-charge applies	UC1 Standard Tax Invoice	Reverse-charge goods/services type exists in the GoodsType codelist	Reverse-charge goods/services type is not in the GoodsType codelist	IBR-166-AE-CL	Client IT	Use a valid UAE reverse-charge goods/services type code	Reverse-charge goods/services classification table
UAE-UC1-CHK-053	Line VAT Category Rate Semantic Consistency	Math	High	Lines	UC1 Standard Tax Invoice	IBT-151; IBT-152; BTUAE-08	IBT-151:partial; IBT-152:partial; BTUAE-08:exact	IBT-151=>tax_category_code; IBT-152=>vat_rate; BTUAE-08=>vat_amount	IBT-151; IBT-152; BTUAE-08	Validates line-level VAT category, VAT rate, and VAT amount combinations are semantically consistent	UC1 Standard Tax Invoice	Line VAT category, rate, and amount follow UAE VAT semantic expectations	Line VAT category conflicts with VAT rate or VAT amount semantics	IBR-111-AE|IBR-162-AE|IBR-163-AE|IBR-165-AE	Client Finance	Align VAT category, VAT rate, and VAT amount to the UAE tax treatment for the line	Line-level tax treatment and VAT calculation policy
UAE-UC1-CHK-054	Header VAT Breakdown Semantic Consistency	Math	High	Cross	UC1 Standard Tax Invoice	IBT-118; IBT-119; IBT-117	IBT-118:partial; IBT-119:partial; IBT-117:partial	IBT-118=>tax_category_code; IBT-119=>tax_category_rate; IBT-117=>vat_total	IBT-118; IBT-119; IBT-117; IBT-151	Validates header VAT breakdown category/rate semantics stay aligned with line-level reverse-charge and zero/exempt behavior	UC1 Standard Tax Invoice	Header VAT breakdown category, rate, and tax amount are semantically aligned to the invoice VAT treatment	Header VAT breakdown conflicts with reverse-charge, exempt, or zero-rated line behavior	ALIGNED-IBRP-AE-01-AE|ALIGNED-IBRP-AE-09-AE	Client Finance	Align VAT breakdown header category, rate, and tax amount with the line-level UAE VAT treatment	VAT breakdown reconciliation and tax policy evidence
UAE-UC1-CHK-058	Credit Note Reason Code In CreditReason Codelist	CodeList	High	Header	UC1 Standard Tax Invoice	BTAE-03	BTAE-03:exact	BTAE-03=>credit_note_reason_code	IBT-003; BTAE-03	Validates credit note reason code (BTAE-03) against CreditReason when invoice type indicates a credit note	UC1 Standard Tax Invoice	Credit note reason code exists in CreditReason when document context is credit note	Credit note reason code is not in CreditReason for credit note context	IBR-158-AE-CL	Client IT	Use a valid UAE credit note reason code for records where invoice_type is a credit note	Credit note reason-code master data and original adjustment reason evidence
