Check ID	Check Name	Check Purpose	Rule Type	Execution Layer	Severity	Execution Scope	Primary Dataset	Validated Field(s)	Input Dependency Type	Trigger Condition / Applies When	Document Context	Linked DR(s)	Mapping Strength	MoF / Legal Linkage Basis	Expected Failure Condition	Runtime Exception Meaning	Current Runtime Status	Known Gaps / Risks	Owner Team
UAE-UC1-CHK-011	Business Process Type Correct	Validates business process type (IBT-023) is present and exactly matches allowed PINT-AE values	enumeration	national_rule	High	Header	InvoiceHeaders	business_process	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-023	exact	Direct DR linkage	Business process type is missing or not in allowed PINT-AE values	Business process type is missing or not in allowed PINT-AE values	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-012	Seller Name Present	Validates seller trading name (IBT-027) is present	structural_rule	schema	Critical	Party	InvoiceHeaders	seller_name	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-027	exact	Direct DR linkage	Seller name is missing	Seller name is missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-013	Seller TRN Pattern Valid	Validates Seller TRN matches UAE 15-digit format (IBT-031)	structural_rule	schema	Critical	Party	InvoiceHeaders	seller_trn	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-031	exact	Direct DR linkage	Seller TRN format is invalid	Seller TRN format is invalid	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-014	Seller Electronic Address Present	Validates seller electronic address endpoint (IBT-034)	structural_rule	schema	High	Party	InvoiceHeaders	seller_electronic_address	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-034 | IBT-034-1	exact|reference_only	PINT semantic alignment with reference-only attribute	Seller electronic address is missing	Seller electronic address is missing	Partially mapped	Includes reference-only linkage; runtime enforcement is weaker for one or more linked attributes	Client IT
UAE-UC1-CHK-014A	Seller Legal Registration Identifier Present	Validates seller legal registration identifier (IBT-030) is present	structural_rule	schema	High	Party	InvoiceHeaders	seller_legal_reg_id	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-030	exact	Direct DR linkage	Seller legal registration identifier is missing	Seller legal registration identifier is missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-014B	Seller Legal Registration Identifier Type Present	Validates seller legal registration identifier type (BTUAE-15) is present when seller legal registration identifier exists	structural_rule	schema	High	Party	InvoiceHeaders	seller_legal_reg_id_type	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	BTUAE-15	exact	Direct DR linkage	Seller legal registration identifier type is missing when seller legal registration identifier exists	Seller legal registration identifier type is missing when seller legal registration identifier exists	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-015	Seller Address Mandatory Fields	Validates seller address has required components (IBT-035 to IBT-040)	structural_rule	schema	High	Party	InvoiceHeaders	seller_address | seller_city | seller_country	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-035 | IBT-037 | IBT-040	exact	Direct DR linkage	Seller address is incomplete	Seller address is incomplete	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-016	UAE Subdivision Code Valid	Validates UAE emirate/subdivision code (IBT-039)	enumeration	national_rule	Medium	Party	InvoiceHeaders	seller_subdivision	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-039	exact	Direct DR linkage	Invalid UAE emirate/subdivision code	Invalid UAE emirate/subdivision code	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-017	Buyer Name Present	Validates buyer name (IBT-044) is present	structural_rule	schema	Critical	Party	BuyerDetails	buyer_name	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-044	exact	Direct DR linkage	Buyer name is missing	Buyer name is missing	Implemented	No major repo-specific traceability risk noted	Buyer-side
UAE-UC1-CHK-018	Buyer TRN Pattern Valid	Validates Buyer TRN matches UAE 15-digit format when present	structural_rule	schema	High	Party	BuyerDetails	buyer_trn	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-048	exact	Direct DR linkage	Buyer TRN format is invalid	Buyer TRN format is invalid	Implemented	No major repo-specific traceability risk noted	Buyer-side
UAE-UC1-CHK-019	Buyer Electronic Address Present	Validates buyer electronic address endpoint (IBT-049)	structural_rule	schema	High	Party	BuyerDetails	buyer_electronic_address	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-049 | IBT-049-1	exact|reference_only	PINT semantic alignment with reference-only attribute	Buyer electronic address is missing	Buyer electronic address is missing	Partially mapped	Includes reference-only linkage; runtime enforcement is weaker for one or more linked attributes	Client IT
UAE-UC1-CHK-020	Buyer Address Mandatory Fields	Validates buyer address has required components	structural_rule	schema	Medium	Party	BuyerDetails	buyer_address | buyer_city | buyer_subdivision | buyer_country	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-050 | IBT-052 | IBT-054 | IBT-055	exact	Direct DR linkage	Buyer address is incomplete	Buyer address is incomplete	Implemented	No major repo-specific traceability risk noted	Buyer-side
UAE-UC1-CHK-021	Sum of Line Net Amounts Matches Header	Validates sum of line net amounts equals header total (IBT-106)	structural_rule	semantic_rule	Critical	Cross	Mixed / Cross-dataset	total_excl_vat | line_total_excl_vat	Cross-dataset	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-106 | IBT-131	exact|partial	Crosswalk derived	Line totals do not sum to header amount	Line totals do not sum to header amount	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-022	Total Without Tax Max 2 Decimals	Validates total without tax has max 2 decimal places (IBT-109)	structural_rule	schema	Medium	Header	InvoiceHeaders	total_excl_vat	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-109	exact	Direct DR linkage	Amount has more than 2 decimal places	Amount has more than 2 decimal places	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-023	Total Tax Max 2 Decimals	Validates total tax amount has max 2 decimal places (IBT-110)	structural_rule	schema	Medium	Header	InvoiceHeaders	vat_total	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-110	exact	Direct DR linkage	Tax amount has more than 2 decimal places	Tax amount has more than 2 decimal places	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-024	Total With Tax Max 2 Decimals	Validates total with tax has max 2 decimal places (IBT-112)	structural_rule	schema	Medium	Header	InvoiceHeaders	total_incl_vat	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-112	exact	Direct DR linkage	Total amount has more than 2 decimal places	Total amount has more than 2 decimal places	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-025	Total With Tax = Without Tax + Tax	Validates total_incl_vat = total_excl_vat + vat_total (IBT-112)	structural_rule	semantic_rule	Critical	Header	InvoiceHeaders	total_excl_vat | vat_total | total_incl_vat	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-109 | IBT-110 | IBT-112	exact	Direct DR linkage	Total mismatch: Total != Net + Tax	Total mismatch: Total != Net + Tax	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-026	Amount Due Precision	Validates amount due has proper precision (IBT-115)	structural_rule	schema	Low	Header	InvoiceHeaders	amount_due	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-115	exact	Direct DR linkage	Amount due precision exceeds 2 decimals	Amount due precision exceeds 2 decimals	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-027	Tax Breakdown Present	Validates at least one VAT breakdown is present (IBG-23)	structural_rule	semantic_rule	Critical	Header	InvoiceHeaders	total_excl_vat | tax_category_code	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-116 | IBT-118	partial	Crosswalk derived	No tax breakdown information provided	No tax breakdown information provided	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-028	Tax Category Tax Amount Formula	Validates tax amount = taxable amount x rate (IBT-117)	structural_rule	semantic_rule	High	Header	InvoiceHeaders	vat_total | vat_amount | tax_category_rate | tax_category_code | vat_rate	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-117 | IBT-119 | IBT-151 | IBT-152 | BTUAE-08	partial|exact	Crosswalk derived	Tax calculation does not match formula	Tax calculation does not match formula	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-029	Tax Total = Sum of Tax Breakdown Amounts	Validates total tax equals sum of all tax category amounts	structural_rule	semantic_rule	Critical	Cross	Mixed / Cross-dataset	vat_total	Cross-dataset	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-110 | IBT-117	exact|partial	Crosswalk derived	Tax breakdown sum does not equal total	Tax breakdown sum does not equal total	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-030	Invoice Must Have >=1 Line	Validates invoice has at least one line item (IBG-25)	structural_rule	schema	Critical	Cross	Mixed / Cross-dataset		Group-level	UC1 Standard Tax Invoice	Tax Invoice / Default UC1		unmapped	Gap / unresolved mapping	Invoice has no line items	Invoice has no line items	Not mapped	Group-level line-existence rule currently lacks clean DR linkage	Client Finance
UAE-UC1-CHK-031	Line Identifier Present	Validates each line has a unique identifier (IBT-126)	structural_rule	schema	High	Lines	InvoiceLine	line_id | line_number	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-126	exact	Direct DR linkage	Line identifier is missing or duplicated	Line identifier is missing or duplicated	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-032	Invoiced Quantity Present	Validates invoiced quantity is present (IBT-129)	structural_rule	schema	High	Lines	InvoiceLine	quantity	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-129	exact	Direct DR linkage	Quantity is missing or invalid	Quantity is missing or invalid	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-033	Unit of Measure Code Present	Validates unit of measure is specified (IBT-130)	structural_rule	schema	Medium	Lines	InvoiceLine	unit_of_measure	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-130	exact	Direct DR linkage	Unit of measure is missing	Unit of measure is missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-034	Line Net Amount Formula	Validates line net = (qty x price) - allowances + charges (IBT-131)	structural_rule	semantic_rule	High	Lines	InvoiceLine	quantity | line_total_excl_vat | unit_price | price_base_quantity | line_base_quantity | item_price_base_quantity	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-129 | IBT-131 | IBT-146 | IBT-148 | IBT-149	partial|exact	Crosswalk derived	Line net calculation is incorrect	Line net calculation is incorrect	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-035	Tax Line Amount Derivable in AED	Validates invoice line amount can be derived in AED using currency/FX policy	dependency_rule	dependency_rule	High	Lines	InvoiceLine	line_total_excl_vat | currency	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-131 | IBT-005	partial	Crosswalk derived	Line amount in AED cannot be derived due to missing/invalid currency or FX	Line amount in AED cannot be derived due to missing/invalid currency or FX	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-036	Commercial Buyer Legal Registration Identifier Present	Validates buyer legal registration identifier is present for commercial invoice profile	dependency_rule	dependency_rule	High	Cross	Mixed / Cross-dataset	buyer_legal_reg_id | buyer_trn	Cross-dataset	Runs only when document type is commercial	Commercial XML	IBT-048	partial	Divergent / conditional	Buyer legal registration identifier is missing for commercial invoices	Buyer legal registration identifier is missing for commercial invoices	Implemented with divergence	Commercial buyer identifier mapping currently diverges between IBT-048 and IBT-047 semantics	Client Finance
UAE-UC1-CHK-037	Commercial Buyer Legal Registration Identifier Type Policy	Validates buyer legal registration identifier type for commercial invoice profile	enumeration	dependency_rule	Medium	Cross	Mixed / Cross-dataset		Cross-dataset	Runs only when document type is commercial	Commercial XML		unmapped	Divergent / conditional	Buyer legal registration identifier type is missing/invalid for commercial invoices	Buyer legal registration identifier type is missing/invalid for commercial invoices	Not mapped	Buyer commercial identifier-type semantic target is unresolved	Client IT
UAE-UC1-CHK-038	Item Name Presence	Validates item name is present, with approved fallback to description	structural_rule	schema	High	Lines	InvoiceLine	item_name | description	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-154 | IBT-153	exact|partial	Crosswalk derived	Item name and fallback description are both missing	Item name and fallback description are both missing	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-039	Item Description Presence	Validates item description is present, with approved fallback to item name	structural_rule	schema	Medium	Lines	InvoiceLine	description | item_name	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-153 | IBT-154	exact|partial	Crosswalk derived	Item description and fallback item name are both missing	Item description and fallback item name are both missing	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-040	Item Price Base Quantity Policy	Validates base-quantity policy for item price using explicit value or approved default	dependency_rule	dependency_rule	Medium	Lines	InvoiceLine	price_base_quantity | line_base_quantity | item_price_base_quantity | quantity | unit_price	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-149 | IBT-129 | IBT-146	partial	Crosswalk derived	Base quantity policy is invalid or unsupported for line pricing	Base quantity policy is invalid or unsupported for line pricing	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client IT
UAE-UC1-CHK-041	Header Tax Category Code In Aligned Tax Category Codes	Validates header tax category code (IBT-118) against Aligned-TaxCategoryCodes codelist	dynamic_codelist	codelist	High	Header	InvoiceHeaders	tax_category_code	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-118	exact	Direct DR linkage	Header tax category code is not in Aligned-TaxCategoryCodes	Header tax category code is not in Aligned-TaxCategoryCodes	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-042	Line Tax Category Code In Aligned Tax Category Codes	Validates line tax category code (IBT-151) against Aligned-TaxCategoryCodes codelist	dynamic_codelist	codelist	High	Lines	InvoiceLine	tax_category_code	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-151	exact	Direct DR linkage	Line tax category code is not in Aligned-TaxCategoryCodes	Line tax category code is not in Aligned-TaxCategoryCodes	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-043	Seller Country Code ISO3166	Validates seller country code (IBT-040) against ISO3166 codelist	dynamic_codelist	codelist	High	Header	InvoiceHeaders	seller_country	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-040	exact	Direct DR linkage	Seller country code is not in ISO3166	Seller country code is not in ISO3166	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-044	Buyer Country Code ISO3166	Validates buyer country code (IBT-055) against ISO3166 codelist	dynamic_codelist	codelist	High	Party	BuyerDetails	buyer_country	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-055	exact	Direct DR linkage	Buyer country code is not in ISO3166	Buyer country code is not in ISO3166	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-045	Invoice Type Code UNCL1001 Invoice Context	Validates invoice type code (IBT-003) against UNCL1001-inv for invoice context documents	dynamic_codelist	codelist	High	Header	InvoiceHeaders	invoice_type	Single field	Runs only for invoice-context documents	Invoice	IBT-003	exact	Direct DR linkage	Invoice type code is not in UNCL1001-inv for invoice context	Invoice type code is not in UNCL1001-inv for invoice context	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-046	Invoice Type Code UNCL1001 Credit Note Context	Validates invoice type code (IBT-003) against UNCL1001-cn for credit note context documents	dynamic_codelist	codelist	High	Header	InvoiceHeaders	invoice_type	Single field	Runs only for credit-note-context documents	Credit Note	IBT-003	exact	Direct DR linkage	Invoice type code is not in UNCL1001-cn for credit note context	Invoice type code is not in UNCL1001-cn for credit note context	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-047	Payment Means Code UNCL4461	Validates payment means code (IBT-081) against UNCL4461 codelist when provided	dynamic_codelist	codelist	Medium	Header	InvoiceHeaders	payment_means_code	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-081	exact	Direct DR linkage	Payment means code is not in UNCL4461	Payment means code is not in UNCL4461	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-048	Unit Of Measure Code UNECE Rec20	Validates unit of measure code (IBT-130) against UNECERec20 codelist	dynamic_codelist	codelist	Medium	Lines	InvoiceLine	unit_of_measure	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-130	exact	Direct DR linkage	Unit of measure code is not in UNECERec20	Unit of measure code is not in UNECERec20	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-049	Exempt VAT Reason Code Required	Validates exempt VAT lines provide an exemption reason code or explanatory reason text	dependency_rule	dependency_rule	High	Lines	InvoiceLine	tax_category_code	Multi-field	Runs when dependency conditions are met: tax_category_code in [E, EXEMPT, EXEMPT_FROM_VAT]	Tax Invoice / Default UC1	IBT-151	partial	Crosswalk derived	Exempt VAT line is missing exemption reason code and explanatory text	Exempt VAT line is missing exemption reason code and explanatory text	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-050	Exempt VAT Reason Code In AE Exemption Codes	Validates exempt VAT reason code against Aligned-TaxExemptionCodes when exempt VAT applies	dynamic_codelist	codelist	High	Lines	InvoiceLine	tax_category_code	Single field	Runs when dependency conditions are met: tax_category_code in [E, EXEMPT, EXEMPT_FROM_VAT]	Tax Invoice / Default UC1	IBT-151	partial	Crosswalk derived	Exempt VAT reason code is not in Aligned-TaxExemptionCodes	Exempt VAT reason code is not in Aligned-TaxExemptionCodes	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client IT
UAE-UC1-CHK-051	Reverse Charge Goods Type Required	Validates reverse-charge VAT lines provide the required goods/services type	dependency_rule	dependency_rule	High	Lines	InvoiceLine	tax_category_code	Multi-field	Runs when dependency conditions are met: tax_category_code in [AE, RC, REVERSE_CHARGE]	Tax Invoice / Default UC1	IBT-151	partial	Crosswalk derived	Reverse-charge VAT line is missing goods/services type	Reverse-charge VAT line is missing goods/services type	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-052	Reverse Charge Goods Type In GoodsType Codelist	Validates reverse-charge goods/services type against GoodsType when reverse-charge applies	dynamic_codelist	codelist	High	Lines	InvoiceLine	tax_category_code	Single field	Runs when dependency conditions are met: tax_category_code in [AE, RC, REVERSE_CHARGE]	Tax Invoice / Default UC1	IBT-151	partial	Crosswalk derived	Reverse-charge goods/services type is not in the GoodsType codelist	Reverse-charge goods/services type is not in the GoodsType codelist	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client IT
UAE-UC1-CHK-053	Line VAT Category Rate Semantic Consistency	Validates line-level VAT category, VAT rate, and VAT amount combinations are semantically consistent	structural_rule	semantic_rule	High	Lines	InvoiceLine	tax_category_code | vat_rate | vat_amount	Multi-field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-151 | IBT-152 | BTUAE-08	partial|exact	Crosswalk derived	Line VAT category conflicts with VAT rate or VAT amount semantics	Line VAT category conflicts with VAT rate or VAT amount semantics	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-054	Header VAT Breakdown Semantic Consistency	Validates header VAT breakdown category/rate semantics stay aligned with line-level reverse-charge and zero/exempt behavior	structural_rule	semantic_rule	High	Cross	Mixed / Cross-dataset	tax_category_code | tax_category_rate | vat_total	Cross-dataset	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-118 | IBT-119 | IBT-117	partial	Crosswalk derived	Header VAT breakdown conflicts with reverse-charge, exempt, or zero-rated line behavior	Header VAT breakdown conflicts with reverse-charge, exempt, or zero-rated line behavior	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-058	Credit Note Reason Code In CreditReason Codelist	Validates credit note reason code (BTAE-03) against CreditReason when invoice type indicates a credit note	dynamic_codelist	codelist	High	Header	InvoiceHeaders	credit_note_reason_code	Single field	Runs only for populated credit-note reason codes on credit-note documents	Credit Note	BTAE-03	exact	Direct DR linkage	Credit note reason code is not in CreditReason for credit note context	Credit note reason code is not in CreditReason for credit note context	Implemented	Dependent on credit-note document context and avoids duplicate blank-value failures already handled by CHK-055	Client IT
UAE-UC1-CHK-059	Transaction Type Code Present	Validates transaction type code (BTUAE-02) is present for UAE invoice scenario routing	structural_rule	schema	Critical	Header	InvoiceHeaders	transaction_type_code	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	BTUAE-02	exact	Direct DR linkage	Transaction type code is missing	Transaction type code is missing	Implemented	Direct header-field gate for UAE scenario signaling before downstream overlay logic relies on the field	Client Finance
UAE-UC1-CHK-060	Transaction Type Code Valid Format	Validates transaction type code (BTUAE-02) is a decodable 8-character UAE transaction scenario token	structural_rule	schema	High	Header	InvoiceHeaders	transaction_type_code	Single field	Accepts governed binary and mask-style transaction-type tokens	Tax Invoice / Default UC1	BTUAE-02	exact	Direct DR linkage	Transaction type code is not a valid binary or mask-style UAE scenario token	Transaction type code is not a valid binary or mask-style UAE scenario token	Implemented	Uses the existing transaction-type decoder rather than plain literal codelist membership so overlay routing stays consistent	Client IT
