Excel Row	DCS Canonical Field Name	PINT-AE Business Term ID	Primary Input Dataset	Secondary Input Dataset	Input Column(s)	Source Template / File	Mapping Type	Transformation / Derivation Logic	Coverage Status	Ingestible in Current 3-Table Model	Validation Rule ID(s)	Validation Rule Name(s)	Runtime Ownership	Evidence / Traceability Notes	Gap / Action Required	Implementation Priority
31	sum_invoice_line_net_amount	IBT-106	InvoiceHeaders	InvoiceLine	total_excl_vat; line_total_excl_vat	headers + lines	Derived	Header total reconciled against sum of line net amounts.	Fully Covered	Yes	UAE-UC1-CHK-021	Sum of Line Net Amounts Matches Header	ERP/System	Derived total with direct arithmetic traceability to lines.	No action.	P1
32	invoice_total_excl_tax	IBT-109	InvoiceHeaders	InvoiceLine	total_excl_vat; line_total_excl_vat	headers + lines	Direct	Header total also reconciled to line totals.	Fully Covered	Yes	UAE-UC1-CHK-022; UAE-UC1-CHK-025	Total Without Tax Max 2 Decimals; Total With Tax = Without Tax + Tax	ERP/System	Direct header total plus reconciliation logic.	No action.	P1
33	invoice_total_tax_amount	IBT-110	InvoiceHeaders	InvoiceLine	vat_total; vat_amount	headers + lines	Direct	Header tax total also reconciled to breakdown and line VAT.	Fully Covered	Yes	UAE-UC1-CHK-023; UAE-UC1-CHK-025; UAE-UC1-CHK-029	Total Tax Max 2 Decimals; Total With Tax = Without Tax + Tax; Tax Total = Sum of Tax Breakdown Amounts	ERP/System	Direct header total with reconciliation against tax breakdown logic.	No action.	P1
34	invoice_total_incl_tax	IBT-112	InvoiceHeaders		total_incl_vat	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-024; UAE-UC1-CHK-025	Total With Tax Max 2 Decimals; Total With Tax = Without Tax + Tax	ERP	Direct header payable total with arithmetic validation.	No action.	P1
35	amount_due_for_payment	IBT-115	InvoiceHeaders		amount_due	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-026	Amount Due Precision	ERP	Direct payable amount; also participates in due-date dependency logic.	No action.	P1
36	tax_category_taxable_amount	IBT-116	InvoiceLine	InvoiceHeaders	line_total_excl_vat; tax_category_code; vat_rate; total_excl_vat	lines + headers	Derived	Grouped taxable subtotal derived per tax category from line data.	Partially Covered	Yes	UAE-UC1-CHK-027	Tax Breakdown Present	ERP/System	Can be derived, but current 3-table model has no dedicated tax-subtotal table.	Add grouped tax-subtotal derivation and explicit display traceability.	P2
37	tax_category_tax_amount	IBT-117	InvoiceLine	InvoiceHeaders	vat_amount; tax_category_code; vat_rate; vat_total	lines + headers	Derived	Grouped tax subtotal derived per tax category from line VAT amounts.	Partially Covered	Yes	UAE-UC1-CHK-028; UAE-UC1-CHK-029; UAE-UC1-CHK-054	Tax Category Tax Amount Formula; Tax Total = Sum of Tax Breakdown Amounts; Header VAT Breakdown Semantic Consistency	ERP/System	Derivable, but no dedicated tax-subtotal dataset exists.	Add grouped tax-subtotal derivation and explicit runtime traceability.	P2
38	tax_category_code	IBT-118	InvoiceHeaders	InvoiceLine	tax_category_code	headers + lines	Direct / Aggregated	Single header field exists, but invoices with multiple tax categories need grouped handling.	Partially Covered	Yes	UAE-UC1-CHK-027; UAE-UC1-CHK-041; UAE-UC1-CHK-054	Tax Breakdown Present; Header Tax Category Code In Aligned Tax Category Codes; Header VAT Breakdown Semantic Consistency	ERP/System	Header field exists, but multi-category tax breakdown support is limited in current model.	Add grouped tax-breakdown handling for multi-rate invoices.	P2
39	tax_category_rate	IBT-119	InvoiceHeaders	InvoiceLine	tax_category_rate; vat_rate	headers + lines	Direct / Aggregated	Single header field exists, but multiple category rates require grouped handling.	Partially Covered	Yes	UAE-UC1-CHK-028; UAE-UC1-CHK-054	Tax Category Tax Amount Formula; Header VAT Breakdown Semantic Consistency	ERP/System	Header field exists, but multi-category rate support is limited in current model.	Add grouped tax-breakdown handling for multi-rate invoices.	P2
40	invoice_line_id	IBT-126	InvoiceLine		line_id; line_number	invoice_lines_template.csv	Multi-column	Line ID is primary; line_number is also used operationally and in validation.	Fully Covered	Yes	UAE-UC1-CHK-031	Line Identifier Present	ERP	Line identity is well covered in the line dataset.	No action.	P1
41	invoiced_quantity	IBT-129	InvoiceLine		quantity	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-032; UAE-UC1-CHK-034; UAE-UC1-CHK-040	Invoiced Quantity Present; Line Net Amount Formula; Item Price Base Quantity Policy	ERP	Direct quantity field also participates in line arithmetic checks.	No action.	P1
42	unit_of_measure_code	IBT-130	InvoiceLine		unit_of_measure	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-033; UAE-UC1-CHK-048	Unit of Measure Code Present; Unit Of Measure Code UNECE Rec20	ERP	Direct line attribute with UNECE Rec20 validation.	No action.	P1
43	invoice_line_net_amount	IBT-131	InvoiceLine		line_total_excl_vat	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-021; UAE-UC1-CHK-034; UAE-UC1-CHK-035	Sum of Line Net Amounts Matches Header; Line Net Amount Formula; Tax Line Amount Derivable in AED	ERP	Direct line amount field with arithmetic and reconciliation checks.	No action.	P1
44	item_net_price	IBT-146	InvoiceLine		unit_price	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-034; UAE-UC1-CHK-040	Line Net Amount Formula; Item Price Base Quantity Policy	ERP	Direct line unit price used in downstream arithmetic checks.	No action.	P1
45	item_gross_price	IBT-148	InvoiceLine		unit_price	invoice_lines_template.csv	Derived	Current runtime reuses unit_price, so gross and net price are not distinct input fields.	Partially Covered	Yes	UAE-UC1-CHK-034	Line Net Amount Formula	ERP	The semantic concept exists, but a separate gross-price source is not modeled.	Add distinct gross-price field if business scenarios require it.	P2
46	item_price_base_quantity	IBT-149	InvoiceLine		item_price_base_quantity	future line input	Reference Only	Validation references this concept, but no ingestible source column exists today.	Reference Only	No	UAE-UC1-CHK-034; UAE-UC1-CHK-040	Line Net Amount Formula; Item Price Base Quantity Policy	ERP	Referenced by rules, but not currently carried by parser or templates.	Add a dedicated line input column and parser support.	P1
47	line_tax_category_code	IBT-151	InvoiceLine		tax_category_code	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-028; UAE-UC1-CHK-042; UAE-UC1-CHK-049; UAE-UC1-CHK-050; UAE-UC1-CHK-051; UAE-UC1-CHK-052; UAE-UC1-CHK-053	Tax Category Tax Amount Formula; Line Tax Category Code In Aligned Tax Category Codes; Exempt VAT Reason Code Required; Exempt VAT Reason Code In AE Exemption Codes; Reverse Charge Goods Type Required; Reverse Charge Goods Type In GoodsType Codelist; Line VAT Category Rate Semantic Consistency	ERP	Core line-level VAT classification field with extensive rule coverage.	No action.	P1
48	line_tax_rate	IBT-152	InvoiceLine		vat_rate	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-028; UAE-UC1-CHK-053	Tax Category Tax Amount Formula; Line VAT Category Rate Semantic Consistency	ERP	Direct line VAT rate field used in formula and semantic checks.	No action.	P1
49	vat_line_amount_aed	BTUAE-08	InvoiceLine	InvoiceHeaders	vat_amount; currency; fx_rate	lines + headers	Derived / UAE Extension	Current runtime carries vat_amount; AED denomination may require explicit FX-to-AED treatment when currency is non-AED.	Partially Covered	Yes	UAE-UC1-CHK-028; UAE-UC1-CHK-053	Tax Category Tax Amount Formula; Line VAT Category Rate Semantic Consistency	ERP/System	Closest runtime match is BTUAE-08 line VAT amount, but AED-specific semantics need confirmation.	Confirm whether outbound field is always AED-normalized and add explicit traceability if needed.	P1
50	invoice_line_amount_aed		InvoiceLine	InvoiceHeaders	line_total_excl_vat; vat_amount; currency; fx_rate	lines + headers	Derived	Can be derived as line net plus line VAT, normalized to AED when needed.	Partially Covered	Yes		No direct registry or validation entry in current runtime model.	ERP/System	Derivable from current sources, but not explicitly modeled as a runtime field.	Add explicit derived field definition and validation linkage if required.	P2
51	item_name	IBT-153 in workbook; runtime maps item_name to IBT-154	InvoiceLine		item_name	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-038; UAE-UC1-CHK-039	Item Name Presence; Item Description Presence	ERP	Field is covered, but workbook and runtime numbering appear misaligned.	Confirm IBT-153 versus IBT-154 assignment between workbook and runtime registry.	P1
52	item_description	IBT-154 in workbook; runtime maps description to IBT-153	InvoiceLine		description	invoice_lines_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-038; UAE-UC1-CHK-039	Item Name Presence; Item Description Presence	ERP	Field is covered, but workbook and runtime numbering appear misaligned.	Confirm IBT-153 versus IBT-154 assignment between workbook and runtime registry.	P1
